Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2003,Newfoundland and Labrador,Hospitals,"68,43,18,242","69,82,79,170","1,38,25,97,412",378,78.27
2004,Newfoundland and Labrador,Hospitals,"69,71,08,279","70,97,76,261","1,40,68,84,540",400,78.33
2005,Newfoundland and Labrador,Hospitals,"74,45,10,268","75,80,10,196","1,50,25,20,464",454,78.26
2006,Newfoundland and Labrador,Hospitals,"82,09,71,113","83,47,71,073","1,65,57,42,185",550.3,78.25
2007,Newfoundland and Labrador,Hospitals,"87,55,74,135","88,86,27,738","1,76,42,01,874",575.6,78.18
2008,Newfoundland and Labrador,Hospitals,"93,32,82,086","94,88,49,632","1,88,21,31,718",597.2,78.5
2009,Newfoundland and Labrador,Hospitals,"1,03,09,57,651","1,04,75,09,300","2,07,84,66,951",603.8,78.96
2010,Newfoundland and Labrador,Hospitals,"1,10,52,90,545","1,12,14,94,874","2,22,67,85,419",607.3,79.28
2011,Newfoundland and Labrador,Hospitals,"1,15,40,13,770","1,16,97,08,067","2,32,37,21,837",630.5,79.6
2012,Newfoundland and Labrador,Hospitals,"1,16,80,09,937","1,18,22,23,124","2,35,02,33,061",618.5,79.6
2013,Newfoundland and Labrador,Hospitals,"1,17,37,05,178","1,18,80,21,231","2,36,17,26,410",648.1,79.52
2014,Newfoundland and Labrador,Hospitals,"1,19,80,04,911","1,21,29,25,698","2,41,09,30,610",675.2,79.37
2015,Newfoundland and Labrador,Hospitals,"1,23,09,91,937","1,24,52,26,397","2,47,62,18,334",662.4,79.23
2016,Newfoundland and Labrador,Hospitals,"1,26,43,19,538","1,27,79,17,960","2,54,22,37,497",692.1,79.38
2017,Newfoundland and Labrador,Hospitals,"1,25,98,33,223","1,27,31,34,044","2,53,29,67,267",677.7,79.56
2018,Newfoundland and Labrador,Hospitals,"1,28,91,71,628","1,30,03,55,706","2,58,95,27,334",693.6,79.8
2019,Newfoundland and Labrador,Hospitals,"1,28,12,22,841","1,29,11,45,142","2,57,23,67,983",694.6,79.93
2020,Newfoundland and Labrador,Hospitals,"1,20,20,45,618","1,21,13,98,718","2,41,34,44,335",637.7,79.89
2021,Newfoundland and Labrador,Hospitals,"1,34,21,04,411","1,34,92,47,434","2,69,13,51,846",704.9,79.92
2022,Newfoundland and Labrador,Hospitals,"1,40,09,87,865","1,40,82,55,101","2,80,92,42,966",735.6,79.99
2023,Newfoundland and Labrador,Hospitals,"1,48,20,01,566","1,48,95,70,569","2,97,15,72,135",750.5,80.03
2003,Newfoundland and Labrador,Physicians,"24,34,99,388","24,98,08,850","49,33,08,237",378,78.27
2004,Newfoundland and Labrador,Physicians,"26,55,19,358","27,18,06,462","53,73,25,820",400,78.33
2005,Newfoundland and Labrador,Physicians,"27,53,63,410","28,25,21,031","55,78,84,441",454,78.26
2006,Newfoundland and Labrador,Physicians,"28,41,51,155","29,06,69,509","57,48,20,663",550.3,78.25
2007,Newfoundland and Labrador,Physicians,"29,47,42,017","30,12,49,304","59,59,91,321",575.6,78.18
2008,Newfoundland and Labrador,Physicians,"31,20,65,225","31,86,05,821","63,06,71,045",597.2,78.5
2009,Newfoundland and Labrador,Physicians,"33,12,50,985","33,81,21,691","66,93,72,676",603.8,78.96
2010,Newfoundland and Labrador,Physicians,"39,88,20,999","40,58,96,572","80,47,17,570",607.3,79.28
2011,Newfoundland and Labrador,Physicians,"42,74,95,600","43,55,36,242","86,30,31,841",630.5,79.6
2012,Newfoundland and Labrador,Physicians,"43,79,24,371","44,60,67,394","88,39,91,765",618.5,79.6
2013,Newfoundland and Labrador,Physicians,"45,33,49,709","46,14,09,016","91,47,58,724",648.1,79.52
2014,Newfoundland and Labrador,Physicians,"45,87,49,828","46,60,90,373","92,48,40,202",675.2,79.37
2015,Newfoundland and Labrador,Physicians,"46,51,80,355","47,24,18,276","93,75,98,631",662.4,79.23
2016,Newfoundland and Labrador,Physicians,"46,29,65,684","47,00,74,715","93,30,40,398",692.1,79.38
2017,Newfoundland and Labrador,Physicians,"49,16,66,932","49,87,82,722","99,04,49,654",677.7,79.56
2018,Newfoundland and Labrador,Physicians,"50,00,37,213","50,75,85,450","1,00,76,22,663",693.6,79.8
2019,Newfoundland and Labrador,Physicians,"48,91,31,423","49,70,50,093","98,61,81,516",694.6,79.93
