Year,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy,Province_Alberta,Province_British Columbia,Province_Manitoba,Province_New Brunswick,Province_Newfoundland and Labrador,Province_Northwest Territories,Province_Nova Scotia,Province_Nunavut,Province_Ontario,Province_Prince Edward Island,Province_Quebec,Province_Saskatchewan,Province_Yukon
2003,1382597412,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,1406884540,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,1502520464,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,1655742185,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,1764201874,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,1882131718,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,2078466951,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,2226785419,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,2323721837,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,2350233061,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,2361726410,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,2410930610,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,2476218334,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,2542237497,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,2532967267,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,2589527334,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,2572367983,694.6,79.93,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,2413444335,637.7,79.89,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,2691351846,704.9,79.92,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,2809242966,735.6,79.99,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,2971572135,750.5,80.03,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,493308237,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,537325820,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,557884441,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,574820663,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,595991321,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,630671045,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,669372676,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,804717570,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,863031841,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,883991765,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,914758724,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,924840202,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,937598631,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,933040398,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,990449654,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,1007622663,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,986181516,694.6,79.93,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,979676662,637.7,79.89,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,981740996,704.9,79.92,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,1060299172,735.6,79.99,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,1104788155,750.5,80.03,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,17387531,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,17747126,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,18075020,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,18032300,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,20464239,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,23375525,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,24765107,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,26567217,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,32049308,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,62608251,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,43747916,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,39650716,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,43745020,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,44885695,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,44644612,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,45211421,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,44228944,694.6,79.93,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,33526293,637.7,79.89,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,37495683,704.9,79.92,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,41402599,735.6,79.99,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,46314157,750.5,80.03,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,204900495,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,216114377,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,225033104,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,229135323,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,246329259,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,256812837,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,270807012,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,285118557,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,305661422,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,317730299,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,306315391,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,298869224,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,309709000,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,305295291,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,310795487,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,313318609,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,320077366,694.6,79.93,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,334591397,637.7,79.89,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,356174142,704.9,79.92,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,375279902,735.6,79.99,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,383887828,750.5,80.03,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,173090794,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,177096304,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,183229560,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,166022106,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,158008446,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,170555080,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,194467308,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,192284803,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,206854773,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,218516932,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,226007384,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,235618339,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,251694154,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,262198338,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,268015935,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,277540505,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,284215012,694.6,79.93,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,298915843,637.7,79.89,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,348334436,704.9,79.92,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,368852616,735.6,79.99,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,390634283,750.5,80.03,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,48627016,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,45877988,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,49053055,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,50391516,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,56539456,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,71894924,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,80897250,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,78123200,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,83999121,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,79907873,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,73929012,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,64177696,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,63513279,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,62635750,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,73692231,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,80335530,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,80892497,694.6,79.93,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,82323868,637.7,79.89,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,84353557,704.9,79.92,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,76901956,735.6,79.99,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,88704264,750.5,80.03,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,102250480,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,109541235,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,90396059,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,90863755,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,102864774,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,196045673,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,239591605,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,344090598,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,396870704,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,687645648,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,568693928,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,587346287,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,634784927,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,670338373,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,694227872,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,717331334,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,773163782,694.6,79.93,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,849472298,637.7,79.89,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,893966798,704.9,79.92,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,908074018,735.6,79.99,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,956114377,750.5,80.03,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,0,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,0,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,0,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,0,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,0,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,0,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,0,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,0,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,0,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,0,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,0,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,0,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,0,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,0,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,0,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,0,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,0,694.6,79.93,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,383837798,637.7,79.89,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,418555041,704.9,79.92,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,97765712,735.6,79.99,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,0,750.5,80.03,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,3089521465,378.0,78.27,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,3167985776,400.0,78.33,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,3277890751,454.0,78.26,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,3475818435,550.3,78.25,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,3835031927,575.6,78.18,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,4108947811,597.2,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,4520814315,603.8,78.96,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,4995293321,607.3,79.28,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,5316540265,630.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,5755354764,618.5,79.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,5849868222,648.1,79.52,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,5885319539,675.2,79.37,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,6084298070,662.4,79.23,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,6194267089,692.1,79.38,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,6267115020,677.7,79.56,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,6441050874,693.6,79.8,0,0,0,0,1,0,0,0,0,0,0,0,0
