Year,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy,Province_British Columbia,Province_Manitoba,Province_New Brunswick,Province_Newfoundland and Labrador,Province_Northwest Territories,Province_Nova Scotia,Province_Nunavut,Province_Ontario,Province_Prince Edward Island,Province_Quebec,Province_Saskatchewan,Province_Yukon
2003,Hospitals,684318242,698279170,1382597412,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,Hospitals,697108279,709776261,1406884540,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,Hospitals,744510268,758010196,1502520464,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,Hospitals,820971113,834771073,1655742185,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,Hospitals,875574135,888627738,1764201874,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,Hospitals,933282086,948849632,1882131718,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,Hospitals,1030957651,1047509300,2078466951,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,Hospitals,1105290545,1121494874,2226785419,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,Hospitals,1154013770,1169708067,2323721837,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2012,Hospitals,1168009937,1182223124,2350233061,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,Hospitals,1173705178,1188021231,2361726410,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,Hospitals,1198004911,1212925698,2410930610,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,Hospitals,1230991937,1245226397,2476218334,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,Hospitals,1264319538,1277917960,2542237497,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,Hospitals,1259833223,1273134044,2532967267,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,Hospitals,1289171628,1300355706,2589527334,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,Hospitals,1281222841,1291145142,2572367983,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,Hospitals,1202045618,1211398718,2413444335,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,Hospitals,1342104411,1349247434,2691351846,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,Hospitals,1400987865,1408255101,2809242966,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,Hospitals,1482001566,1489570569,2971572135,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,Physicians,243499388,249808850,493308237,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,Physicians,265519358,271806462,537325820,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,Physicians,275363410,282521031,557884441,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,Physicians,284151155,290669509,574820663,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,Physicians,294742017,301249304,595991321,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,Physicians,312065225,318605821,630671045,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,Physicians,331250985,338121691,669372676,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,Physicians,398820999,405896572,804717570,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,Physicians,427495600,435536242,863031841,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2012,Physicians,437924371,446067394,883991765,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,Physicians,453349709,461409016,914758724,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,Physicians,458749828,466090373,924840202,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,Physicians,465180355,472418276,937598631,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,Physicians,462965684,470074715,933040398,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,Physicians,491666932,498782722,990449654,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,Physicians,500037213,507585450,1007622663,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,Physicians,489131423,497050093,986181516,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,Physicians,486368419,493308243,979676662,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,Physicians,486934793,494806203,981740996,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,Physicians,526189777,534109394,1060299172,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,Physicians,548356073,556432082,1104788155,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,Other Professionals,4975956,12411575,17387531,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,Other Professionals,4689641,13057485,17747126,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,Other Professionals,4369145,13705876,18075020,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,Other Professionals,4342004,13690296,18032300,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,Other Professionals,5533444,14930796,20464239,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,Other Professionals,6794376,16581150,23375525,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,Other Professionals,7016785,17748322,24765107,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,Other Professionals,7792430,18774787,26567217,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,Other Professionals,9859194,22190114,32049308,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2012,Other Professionals,23800917,38807334,62608251,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,Other Professionals,15398310,28349606,43747916,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,Other Professionals,12836780,26813935,39650716,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,Other Professionals,14339662,29405359,43745020,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,Other Professionals,14154273,30731421,44885695,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,Other Professionals,13678863,30965749,44644612,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,Other Professionals,13562158,31649262,45211421,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,Other Professionals,11857845,32371099,44228944,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,Other Professionals,8344896,25181397,33526293,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,Other Professionals,9234126,28261558,37495683,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,Other Professionals,10490052,30912547,41402599,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,Other Professionals,12618422,33695735,46314157,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,Drugs,96049290,108851205,204900495,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,Drugs,101723584,114390793,216114377,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,Drugs,106002196,119030909,225033104,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,Drugs,108139408,120995914,229135323,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,Drugs,116946468,129382791,246329259,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,Drugs,122290607,134522230,256812837,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,Drugs,128689904,142117108,270807012,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,Drugs,135938942,149179615,285118557,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,Drugs,145706911,159954512,305661422,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2012,Drugs,151436776,166293523,317730299,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,Drugs,146216900,160098492,306315391,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,Drugs,142571224,156298000,298869224,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,Drugs,147852641,161856359,309709000,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,Drugs,145421061,159874230,305295291,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,Drugs,147483530,163311957,310795487,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,Drugs,148552304,164766306,313318609,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,Drugs,151558103,168519262,320077366,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,Drugs,154966566,179624832,334591397,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,Drugs,163049922,193124221,356174142,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,Drugs,171773116,203506786,375279902,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,Drugs,175756600,208131228,383887828,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,Public Health,77271338,95819456,173090794,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,Public Health,80845770,96250534,177096304,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,Public Health,84048061,99181499,183229560,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,Public Health,75159990,90862116,166022106,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,Public Health,70441931,87566515,158008446,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,Public Health,76824368,93730712,170555080,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,Public Health,85560930,108906378,194467308,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,Public Health,85107482,107177321,192284803,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,Public Health,91230484,115624289,206854773,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2012,Public Health,98728138,119788795,218516932,618.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
2013,Public Health,102290694,123716690,226007384,648.1,79.52,0,0,0,1,0,0,0,0,0,0,0,0
2014,Public Health,106351529,129266810,235618339,675.2,79.37,0,0,0,1,0,0,0,0,0,0,0,0
2015,Public Health,114237288,137456866,251694154,662.4,79.23,0,0,0,1,0,0,0,0,0,0,0,0
2016,Public Health,119344714,142853625,262198338,692.1,79.38,0,0,0,1,0,0,0,0,0,0,0,0
2017,Public Health,121468503,146547432,268015935,677.7,79.56,0,0,0,1,0,0,0,0,0,0,0,0
2018,Public Health,124531463,153009042,277540505,693.6,79.8,0,0,0,1,0,0,0,0,0,0,0,0
2019,Public Health,125818353,158396659,284215012,694.6,79.93,0,0,0,1,0,0,0,0,0,0,0,0
2020,Public Health,130900853,168014990,298915843,637.7,79.89,0,0,0,1,0,0,0,0,0,0,0,0
2021,Public Health,153196633,195137802,348334436,704.9,79.92,0,0,0,1,0,0,0,0,0,0,0,0
2022,Public Health,162203088,206649528,368852616,735.6,79.99,0,0,0,1,0,0,0,0,0,0,0,0
2023,Public Health,172529894,218104389,390634283,750.5,80.03,0,0,0,1,0,0,0,0,0,0,0,0
2003,Administration,19040464,29586552,48627016,378.0,78.27,0,0,0,1,0,0,0,0,0,0,0,0
2004,Administration,17369460,28508528,45877988,400.0,78.33,0,0,0,1,0,0,0,0,0,0,0,0
2005,Administration,17805461,31247594,49053055,454.0,78.26,0,0,0,1,0,0,0,0,0,0,0,0
2006,Administration,18603472,31788045,50391516,550.3,78.25,0,0,0,1,0,0,0,0,0,0,0,0
2007,Administration,21312602,35226854,56539456,575.6,78.18,0,0,0,1,0,0,0,0,0,0,0,0
2008,Administration,28952348,42942577,71894924,597.2,78.5,0,0,0,1,0,0,0,0,0,0,0,0
2009,Administration,32309847,48587404,80897250,603.8,78.96,0,0,0,1,0,0,0,0,0,0,0,0
2010,Administration,30839890,47283310,78123200,607.3,79.28,0,0,0,1,0,0,0,0,0,0,0,0
2011,Administration,34232786,49766334,83999121,630.5,79.6,0,0,0,1,0,0,0,0,0,0,0,0
